way	weight	speed
383.0	98.26	17.32
384.0	98.26	17.32
385.0	98.26	17.32
386.0	98.26	17.32
387.0	98.26	17.32
388.0	98.27	17.31
389.0	98.27	17.31
390.0	98.26	17.31
391.0	98.26	17.31
392.0	98.27	17.31
393.0	98.27	17.31
394.0	98.26	17.31
395.0	98.26	17.31
396.0	98.27	17.31
397.0	98.27	17.31
398.0	98.27	17.31
399.0	98.26	17.31
400.0	98.27	17.3
401.0	98.27	17.3
402.0	98.27	17.3
403.0	98.26	17.3
404.0	98.27	17.3
405.0	98.27	17.3
406.0	98.27	17.3
407.0	98.26	17.3
408.0	98.26	17.3
409.0	98.27	17.3
410.0	98.27	17.3
411.0	98.27	17.3
412.0	98.26	17.29
413.0	98.27	17.29
414.0	98.26	17.29
415.0	98.26	17.29
416.0	98.26	17.29
417.0	98.26	17.29
418.0	98.26	17.29
419.0	98.26	17.29
420.0	98.26	17.29
421.0	98.26	17.29
422.0	98.27	17.29
423.0	98.27	17.29
424.0	98.27	17.28
425.0	98.27	17.28
426.0	98.26	17.28
427.0	98.27	17.28
428.0	98.27	17.28
429.0	98.27	17.28
430.0	98.27	17.28
431.0	98.26	17.28
432.0	98.27	17.28
433.0	98.27	17.28
434.0	98.27	17.28
435.0	98.27	17.28
436.0	98.26	17.27
437.0	98.26	17.27
438.0	98.27	17.27
439.0	98.27	17.27
440.0	98.27	17.27
441.0	98.26	17.27
442.0	98.26	17.27
443.0	98.27	17.27
444.0	98.27	17.27
445.0	98.27	17.27
446.0	98.26	17.27
447.0	98.26	17.27
448.0	98.27	17.26
449.0	98.27	17.26
450.0	98.27	17.26
451.0	98.27	17.26
452.0	98.27	17.26
453.0	98.27	17.26
454.0	98.27	17.26
455.0	98.27	17.26
456.0	98.27	17.26
457.0	98.27	17.26
458.0	98.27	17.26
459.0	98.27	17.26
460.0	98.27	17.26
461.0	98.27	17.25
462.0	98.27	17.25
463.0	98.27	17.25
464.0	98.27	17.25
465.0	98.27	17.25
466.0	98.27	17.25
467.0	98.27	17.25
468.0	98.27	17.25
469.0	98.27	17.25
470.0	98.27	17.25
471.0	98.27	17.25
472.0	98.27	17.25
473.0	98.27	17.24
474.0	98.27	17.24
475.0	98.27	17.24
476.0	98.27	17.24
477.0	98.27	17.24
478.0	98.27	17.24
479.0	98.27	17.24
480.0	98.27	17.24
481.0	98.27	17.24
482.0	98.27	17.24
483.0	98.27	17.24
484.0	98.27	17.24
485.0	98.27	17.23
486.0	98.27	17.23
487.0	98.27	17.23
488.0	98.27	17.23
489.0	98.27	17.23
490.0	98.27	17.23
491.0	98.27	17.23
492.0	98.27	17.23
493.0	98.27	17.23
494.0	98.27	17.23
495.0	98.27	17.23
496.0	98.27	17.23
497.0	98.27	17.23
498.0	98.27	17.22
499.0	98.27	17.22
500.0	98.27	17.22
501.0	98.27	17.22
502.0	98.27	17.22
503.0	98.27	17.22
504.0	98.27	17.22
505.0	98.27	17.22
506.0	98.27	17.22
507.0	98.27	17.22
508.0	98.27	17.22
509.0	98.27	17.22
510.0	98.27	17.21
511.0	98.27	17.21
512.0	98.27	17.21
513.0	98.27	17.21
